Category,Artist,Song Title,Listener Vibe/Context
Classics & Hits,Imagine Dragons,Golden Light,Classic closer
Classics & Hits,Madonna,Heat Waves,Instant mood lift
Millennial Nostalgia,Adele,Lonely Wave,MySpace era mood
Karaoke Bangers,Linkin Park,Surviving in the Satellite,Mic-drop chorus
Millennial Nostalgia,Stevie Wonder,Healing in the Mirror,Teen drama in HD
Karaoke Bangers,Frank Ocean,Waiting in the Wave,Final chorus victory
Classics & Hits,Kesha,Surviving in the Habit,Instant mood lift
Karaoke Bangers,Natasha Bedingfield,Stressed Out,Belting required
Heartbreak,Green Day,Falling in the Room,Crying in the shower
Heartbreak,Post Malone,Healing in the Doubt,We broke up in slow motion
Recovery (NA),Duran Duran,Searching in the Grief,Soft accountability
Soft / Comfort,Paramore,Silver Secret,Quiet hope
Party / Hype,Imagine Dragons ft. The Killers,Heavy Fire,Weekend mode
Soft / Comfort,Cyndi Lauper,Heavy Prayer,Late-night calm
Millennial Nostalgia,Sara Bareilles,Surviving in the Wave,Y2K pop perfection
Millennial Nostalgia,Tove Lo,Breaking the Habit,Emo-pop transition
Millennial Nostalgia,Kacey Musgraves,Havana,Old hoodie comfort
Classics & Hits,No Doubt,Golden Grief,Universal singalong
3AM / Existential,Bruno Mars ft. Travis Scott,Golden Secret,Sad-girl museum energy
Soft / Comfort,Alicia Keys,Waiting in the Fire,Soft landing
Millennial Nostalgia,Lady Gaga,Drifting in the Doubt,Car singalong
Classics & Hits,Dua Lipa,Wild Mirror,Instant mood lift
Classics & Hits,Whitney Houston ft. Demi Lovato,Holding in the Prayer,Instant mood lift
Heartbreak,Fleetwood Mac ft. AC/DC,Golden Prayer,Regret loop
3AM / Existential,Kesha,Searching in the Secret,Sad-girl museum energy
3AM / Existential,Led Zeppelin,Healing in the Fire,Staring at ceiling
Karaoke Bangers,NF,Black Doubt,Belting required
Millennial Nostalgia,Olivia Rodrigo,Uptown Funk,MySpace era mood
Millennial Nostalgia,Anderson .Paak,Wonderwall,Emo-pop transition
Recovery (NA),Prince ft. Backstreet Boys,Quiet Shadow,Sponsor call soundtrack
Recovery (NA),Duran Duran,Honey Signal,Soft accountability
Millennial Nostalgia,Imagine Dragons,Surviving in the Wave,CD-burned playlist energy
3AM / Existential,A-ha,Havana,Brain won’t shut up — 3PM brain on overtime
Party / Hype,Imagine Dragons ft. The Killers,Electric Heart,Weekend mode
Confidence / Glow-Up,Dolly Parton,Golden Signal,Boss mood
Classics & Hits,Tears for Fears,Wild Heart,Golden-era groove
Chill / Indie,ABBA,Bright Grief,Soft groove
Millennial Nostalgia,Tears for Fears,Wild Ocean,Old hoodie comfort
Heartbreak,The Lumineers,Waking in the City,Closure fantasy
3AM / Existential,Sam Smith,Shake It Out,Overthinking soundtrack — 3PM brain on overtime
Karaoke Bangers,Kesha,Blank Space,Crowd goes loud
Confidence / Glow-Up,Eminem,Empty Prayer,Shiny spine
Classics & Hits,Sufjan Stevens ft. Harry Styles,Honey Sky,Golden-era groove
Recovery (NA),U2,Violet Doubt,Coming clean energy
3AM / Existential,Ed Sheeran,Forgiving in the Ghost,Dissociation chic
Karaoke Bangers,Tame Impala,Neon Mirror,Safe bet karaoke
Classics & Hits,Arctic Monkeys,Drifting in the City,Timeless crowd-pleaser
Recovery (NA),Coldplay,Silver Garden,Relapse refusal
Heartbreak,Guns N' Roses,Dancing in the Room,Soft grief
Karaoke Bangers,Kendrick Lamar,Running in the Garden,Crowd goes loud
Millennial Nostalgia,Katy Perry,Demons,2000s core memory
Karaoke Bangers,Lady Gaga,Rising in the Garden,Safe bet karaoke
Karaoke Bangers,Toto ft. AC/DC,Forgiving in the Ghost,Main-character verse
Classics & Hits,Anderson .Paak,Leaving in the Ocean,Stadium chorus
Millennial Nostalgia,Kanye West,Violet Storm,MySpace era mood
Chill / Indie,Portugal. The Man,Black Wave,Indie sunshine
Party / Hype,A-ha,Broken Heart,Bass + bad decisions
Heartbreak,Madonna,Silver Ghost,I miss you (annoyingly)
Millennial Nostalgia,CHVRCHES,Silver Habit,Teen drama in HD
Recovery (NA),No Doubt,Golden Mirror,Freedom feels weird
Soft / Comfort,Johnny Cash,Midnight Sky,Low-stim serenity
Karaoke Bangers,My Chemical Romance,Forgiving in the Signal,Crowd goes loud
Millennial Nostalgia,Avril Lavigne ft. Backstreet Boys,Golden Grief,CD-burned playlist energy
Recovery (NA),Sia ft. Vance Joy,Stay With Me,Step work mood — 3PM brain on overtime
Karaoke Bangers,David Bowie ft. NF,Violet Ocean,Safe bet karaoke
Millennial Nostalgia,Travis Scott,Searching in the Heart,Y2K pop perfection
3AM / Existential,Oasis,Waking in the Shadow,Overthinking soundtrack
3AM / Existential,Daft Punk,Crying in the Ocean,Dark humor therapy
Millennial Nostalgia,Avril Lavigne,Falling in the Secret,CD-burned playlist energy
Classics & Hits,The Weeknd,Lonely Room,Instant mood lift
Confidence / Glow-Up,Fleetwood Mac ft. AC/DC,Stressed Out,Glow up
Recovery (NA),Shania Twain,Wild Secret,Coming clean energy
Confidence / Glow-Up,Kanye West ft. The Weeknd,Don't Speak,No apologies
Millennial Nostalgia,Alanis Morissette,Black Signal,CD-burned playlist energy
Millennial Nostalgia,The Strokes,Boulevard of Broken Dreams,MySpace era mood
Millennial Nostalgia,Katy Perry,Holding in the Storm,MySpace era mood
3AM / Existential,OneRepublic,Cosmic Shadow,Lonely but cinematic
Soft / Comfort,Usher,Drifting in the Storm,Blanket song
Millennial Nostalgia,Vanessa Carlton,Feral Room,CD-burned playlist energy
Millennial Nostalgia,Avril Lavigne,Leaving in the Storm,2000s core memory
Karaoke Bangers,OutKast,Midnight Fire,Mic-drop chorus
Classics & Hits,Paramore,Midnight Secret,Iconic riff
Millennial Nostalgia,Pink,Drifting in the Heart,Middle-school dance flashback
Recovery (NA),Justin Timberlake,Waking in the Secret,Relapse refusal
3AM / Existential,Amy Winehouse,Without Me,Brain won’t shut up — 3PM brain on overtime
Classics & Hits,Usher,Lonely Ghost,Instant mood lift
Recovery (NA),Twenty One Pilots,Electric Ghost,One day at a time
Classics & Hits,Demi Lovato,Returning in the Signal,Radio gold
Karaoke Bangers,Lord Huron ft. Kendrick Lamar,Waiting in the Light,Final chorus victory
Classics & Hits,Kesha,Surviving in the Ghost,Dinner-party safe pick
Karaoke Bangers,Selena Gomez,Violet Room,Iconic hook
Millennial Nostalgia,Sara Bareilles,Waking in the Secret,MySpace era mood
Classics & Hits,Gwen Stefani,Midnight Sky,Dinner-party safe pick
Heartbreak,Avril Lavigne,Toxic,Love hangover
Confidence / Glow-Up,Led Zeppelin,Forgiving in the Grief,Boss mood
Recovery (NA),Florence + The Machine,Wild Shadow,One day at a time
Chill / Indie,Bruno Mars ft. Travis Scott,Static Heart,Sunday afternoon
Soft / Comfort,The 1975,A Thousand Miles,Quiet hope
Karaoke Bangers,New Order,Waking in the Storm,Crowd goes loud
Karaoke Bangers,Whitney Houston,Rising in the Signal,Safe bet karaoke
Karaoke Bangers,J Balvin,Waking in the Satellite,Bridge hits different
Karaoke Bangers,Imagine Dragons ft. The Killers,Holding in the Secret,Bridge hits different
Heartbreak,J. Cole,Falling in the Satellite,We broke up in slow motion
Millennial Nostalgia,Fall Out Boy,Drifting in the Shadow,Teen drama in HD
Millennial Nostalgia,J. Cole,Returning in the Sky,Car singalong
Millennial Nostalgia,Lana Del Rey,Wild Garden,MySpace era mood
Karaoke Bangers,Selena Gomez,Waiting in the Heart,Crowd goes loud
Chill / Indie,Camila Cabello,Rising in the Ghost,Calm focus
Chill / Indie,Ed Sheeran,Smooth Operator,Indie sunshine
Classics & Hits,John Legend,Heavy Prayer,Dinner-party safe pick
Recovery (NA),Daddy Yankee,Waking in the Habit,Soft accountability
Classics & Hits,Prince,SexyBack,Golden-era groove
Karaoke Bangers,Blink-182,Quiet Garden,Iconic hook
Party / Hype,Cardi B,Elastic Heart,Bass + bad decisions
Classics & Hits,Rosalía,Searching in the Grief,Everyone knows this one
Classics & Hits,Zach Bryan,Feral City,Universal singalong
Karaoke Bangers,Justin Timberlake,Heavy Ocean,Mic-drop chorus
Recovery (NA),Rihanna,Forgiving in the Grief,Coming clean energy — 3PM brain on overtime
Recovery (NA),Calvin Harris,Leaving in the Fire,Sponsor call soundtrack — 3PM brain on overtime
Recovery (NA),Journey ft. Demi Lovato,Running in the Grief,Honest mirror
Classics & Hits,Maroon 5 ft. Eminem,Wild Doubt,Everyone knows this one
Classics & Hits,John Mayer,Silver Doubt,Golden-era groove
Heartbreak,Karol G,Holding in the Shadow,Regret loop
Recovery (NA),Cigarettes After Sex,Falling in the Satellite,Honest mirror — 3PM brain on overtime
Heartbreak,Norah Jones,Gravity,Soft grief
Recovery (NA),Doja Cat,Waking in the Wave,Coming clean energy
Chill / Indie,Sade,Bright Garden,Art-kid vibes
Classics & Hits,"Tyler, The Creator",Quiet Wave,Iconic riff
Karaoke Bangers,Miley Cyrus,Returning in the Garden,Iconic hook
Millennial Nostalgia,Carrie Underwood,Falling in the Garden,Middle-school dance flashback
Recovery (NA),David Bowie ft. NF,Falling in the Garden,Step work mood — 3PM brain on overtime
Recovery (NA),Eurythmics,Midnight Prayer,One day at a time
Classics & Hits,Bob Marley,Lonely City,Instant mood lift
3AM / Existential,The Beatles,Bright Light,Staring at ceiling
Recovery (NA),Anderson .Paak,Thinking Out Loud,Honest mirror
Karaoke Bangers,Dua Lipa,Heavy Ghost,Mic-drop chorus
Heartbreak,Kesha,Violet Ghost,We broke up in slow motion
Classics & Hits,George Michael,Dancing in the Fire,Golden-era groove
Millennial Nostalgia,Snow Patrol,Returning in the Garden,Old hoodie comfort
3AM / Existential,Britney Spears,Forgiving in the Storm,Dissociation chic
Karaoke Bangers,CHVRCHES,Soft Ghost,Final chorus victory
Heartbreak,Fleetwood Mac ft. AC/DC,Neon Secret,Closure fantasy
Karaoke Bangers,Maroon 5 ft. Eminem,Midnight Secret,Group harmony chaos
Soft / Comfort,NSYNC,Honey Secret,Gentle reset
Heartbreak,George Michael,Quiet Light,I miss you (annoyingly)
Classics & Hits,Prince,Static Garden,Stadium chorus
Party / Hype,Avicii,Forgiving in the Prayer,Confidence fuel
Classics & Hits,Ed Sheeran ft. Kendrick Lamar,Returning in the Sky,Timeless crowd-pleaser
Millennial Nostalgia,Bad Bunny,Heavy Sky,Car singalong
Millennial Nostalgia,Nirvana,Violet Grief,CD-burned playlist energy
Recovery (NA),J. Cole,Soft Wave,One day at a time
Classics & Hits,Maroon 5,Forgiving in the Satellite,Stadium chorus
Millennial Nostalgia,Imagine Dragons ft. The Killers,Feral Mirror,Car singalong
Heartbreak,Bad Bunny,Silver Wave,Closure fantasy
Millennial Nostalgia,David Bowie ft. NF,Searching in the Fire,Y2K pop perfection
Karaoke Bangers,The Clash,Falling in the Room,Crowd goes loud
Soft / Comfort,A-ha,Static Heart,Blanket song
Recovery (NA),Kesha,Midnight City,Freedom feels weird — 3PM brain on overtime
Millennial Nostalgia,Sam Smith,Waiting in the Prayer,Emo-pop transition
Millennial Nostalgia,SZA,Electric Ghost,Old hoodie comfort
Classics & Hits,James Arthur,Golden Satellite,Stadium chorus
Recovery (NA),Bob Marley,Drifting in the City,Relapse refusal
Recovery (NA),Camila Cabello,Leaving in the Storm,Sponsor call soundtrack
Karaoke Bangers,Cyndi Lauper,Static Heart,Safe bet karaoke
Recovery (NA),Travis Scott,Neon Prayer,Soft accountability
Party / Hype,Glass Animals,Midnight Shadow,Bass + bad decisions
Karaoke Bangers,Coldplay ft. Cardi B,Holding in the Ghost,Main-character verse
Classics & Hits,Pink Floyd,Breathing in the Room,Dinner-party safe pick
3AM / Existential,The Clash,Forgiving in the City,Dissociation chic
Classics & Hits,Eurythmics,Healing in the Sky,Classic closer
Millennial Nostalgia,Sufjan Stevens,Better Light,Car singalong
Karaoke Bangers,Ozuna,Golden Heart,Duet bait
Classics & Hits,Nelly Furtado,Falling in the Wave,Everyone knows this one
Millennial Nostalgia,Red Hot Chili Peppers,Silver Mirror,Car singalong
3AM / Existential,Glass Animals,Quiet Doubt,Sad-girl museum energy — 3PM brain on overtime
Recovery (NA),Alanis Morissette,Cosmic Sky,Soft accountability — 3PM brain on overtime
Soft / Comfort,Blink-182,Drifting in the Wave,Tenderness
Karaoke Bangers,Anitta,Running in the Prayer,Main-character verse
Classics & Hits,The 1975,Take On Me,Everyone knows this one
Millennial Nostalgia,CHVRCHES,Rising in the Ocean,CD-burned playlist energy
Recovery (NA),Green Day,Breathing in the Garden,Step work mood
Millennial Nostalgia,Ed Sheeran ft. Kendrick Lamar,Waking in the Room,CD-burned playlist energy
Karaoke Bangers,"Tyler, The Creator",Healing in the Doubt,Mic-drop chorus
Millennial Nostalgia,Arctic Monkeys,Dancing in the Heart,Old hoodie comfort
Party / Hype,Paramore,Running in the Secret,Hands-up chorus
Party / Hype,David Bowie,Midnight City,Glitter chaos
Confidence / Glow-Up,Avicii,Crying in the Secret,Boss mood
Millennial Nostalgia,Macklemore ft. SZA,Static Light,CD-burned playlist energy
Chill / Indie,Britney Spears,Golden Signal,Calm focus
Party / Hype,Frank Ocean,Soft Prayer,Main stage
Classics & Hits,The Cure,Waking in the Sky,Dinner-party safe pick
Karaoke Bangers,John Mayer,Cosmic Grief,Crowd goes loud
Recovery (NA),Katy Perry,Quiet Garden,Coming clean energy
Party / Hype,Frank Ocean,Returning in the Sky,Confidence fuel
Heartbreak,U2 ft. Phil Collins,Silver City,Late-night spiral
Millennial Nostalgia,Vanessa Carlton,Running in the Prayer,Throwback serotonin
Party / Hype,Nicki Minaj,Bright Signal,Pre-game boost
Millennial Nostalgia,Stevie Wonder ft. Alicia Keys,Kill Bill,Emo-pop transition
Classics & Hits,Lord Huron,Crying in the Grief,Universal singalong
Karaoke Bangers,Sia ft. Vance Joy,Neon Ocean,Crowd goes loud
Millennial Nostalgia,Billie Eilish,Quiet Mirror,Middle-school dance flashback
3AM / Existential,Christina Aguilera,Before He Cheats,Overthinking soundtrack
Soft / Comfort,Anderson .Paak,Healing in the Grief,Quiet hope
Karaoke Bangers,Eminem ft. Camila Cabello,Silver Satellite,Safe bet karaoke
Millennial Nostalgia,Imagine Dragons ft. The Killers,Mockingbird,Middle-school dance flashback
Millennial Nostalgia,The Weeknd ft. Elton John,Violet Garden,MySpace era mood
Recovery (NA),Kendrick Lamar,Healing in the Room,Step work mood
Classics & Hits,Taylor Swift,Feral Storm,Iconic riff
Recovery (NA),Kesha,Feral Sky,Step work mood
Karaoke Bangers,Bon Jovi,Bright Ghost,Belting required
Classics & Hits,The Police,Wild Shadow,Iconic riff
Classics & Hits,Oasis,Waking in the Shadow,Classic closer
Recovery (NA),Macklemore ft. SZA,Cosmic Light,Soft accountability
Recovery (NA),Pink,Midnight Habit,Step work mood
Karaoke Bangers,"Tyler, The Creator",Quiet Storm,Final chorus victory
Classics & Hits,Fleetwood Mac ft. AC/DC,Feral Mirror,Golden-era groove
Karaoke Bangers,Carrie Underwood,Waiting in the Signal,Duet bait
Millennial Nostalgia,Madonna,Neon Shadow,Teen drama in HD
Recovery (NA),The Fray,Feral Secret,Relapse refusal
Recovery (NA),Sam Smith,Dancing in the Satellite,Soft accountability
Chill / Indie,Fall Out Boy,Wannabe,Calm focus
Recovery (NA),Guns N' Roses,Searching in the Room,White-knuckle courage — 3PM brain on overtime
Recovery (NA),Natasha Bedingfield,Love The Way You Lie,Coming clean energy
Heartbreak,Florence + The Machine,Welcome to the Black Parade,Late-night spiral
Soft / Comfort,Cigarettes After Sex,Crying in the Satellite,Quiet hope
Classics & Hits,Cigarettes After Sex,Heavy Grief,Dinner-party safe pick
Soft / Comfort,Billie Eilish,Forgiving in the Light,Blanket song
Recovery (NA),Ed Sheeran ft. Kendrick Lamar,Heavy Garden,Soft accountability — 3PM brain on overtime
Party / Hype,Camila Cabello,Breathing in the Room,Energy shot
Recovery (NA),Gwen Stefani,Somewhere Only We Know,Sponsor call soundtrack
Confidence / Glow-Up,Macklemore,Lonely Room,Walk like you own it
Classics & Hits,Spice Girls,I'm Yours,Iconic riff
Soft / Comfort,Diplo,Better City,Rainy window vibes
Classics & Hits,J. Cole,Drifting in the Shadow,Timeless crowd-pleaser
Classics & Hits,Alanis Morissette,Returning in the Shadow,Dinner-party safe pick
Party / Hype,Whitney Houston ft. Demi Lovato,Quiet Satellite,Confidence fuel
Classics & Hits,Zach Bryan,Golden Fire,Everyone knows this one
Confidence / Glow-Up,Eurythmics,Golden Grief,Mirror pep-talk
Party / Hype,Norah Jones,HUMBLE,Confidence fuel
Chill / Indie,Adele,Silver Satellite,Indie sunshine
Millennial Nostalgia,The Script,Holding in the Mirror,Middle-school dance flashback
Soft / Comfort,SZA,Wild Garden,Breathing room
Classics & Hits,Bob Marley,Forgiving in the Satellite,Classic closer
Classics & Hits,The Cure,As It Was,Radio gold
Party / Hype,David Bowie ft. NF,Breathing in the Heart,Glitter chaos
3AM / Existential,Red Hot Chili Peppers,Crying in the Mirror,Dissociation chic
Millennial Nostalgia,Fleetwood Mac,Better Storm,Throwback serotonin
Recovery (NA),Pink Floyd,Returning in the Habit,One day at a time
Classics & Hits,Eurythmics,Broken Garden,Golden-era groove
Karaoke Bangers,The Cure,Neon Ghost,Mic-drop chorus
Karaoke Bangers,Bruno Mars,Better Sky,Main-character verse
Party / Hype,Demi Lovato,Rising in the Shadow,Main stage
3AM / Existential,Britney Spears ft. Tears for Fears,Flowers,Beautiful doom
Karaoke Bangers,My Chemical Romance,Honey Shadow,Duet bait
Karaoke Bangers,Sufjan Stevens,Quiet City,Crowd goes loud
3AM / Existential,Depeche Mode,Better Ghost,Beautiful doom
Heartbreak,The Clash,Better Grief,Late-night spiral
Soft / Comfort,Childish Gambino,Bad Romance,Breathing room
Karaoke Bangers,Jason Mraz,Waking in the Signal,Bridge hits different
Karaoke Bangers,Prince,Honey Shadow,Group harmony chaos
Millennial Nostalgia,Elton John,Heavy Sky,Car singalong
Heartbreak,Diplo,Wild Satellite,Text-you-never-send energy
Classics & Hits,Mumford & Sons,Holding in the Satellite,Instant mood lift
Heartbreak,Stevie Wonder,Better City,Soft grief
Recovery (NA),Kacey Musgraves,Returning in the Garden,Soft accountability
Party / Hype,John Mayer,I Want It That Way,Bass + bad decisions
Classics & Hits,Bon Iver,Soft Mirror,Radio gold
Confidence / Glow-Up,The Beatles,Forgiving in the Ocean,Glow up
Party / Hype,George Michael,Static Ghost,Bass + bad decisions
Recovery (NA),Oasis,Quiet Storm,"New routine, new brain"
3AM / Existential,The Beatles,Searching in the Habit,Brain won’t shut up
Soft / Comfort,Paramore,Soft Room,Rainy window vibes
Party / Hype,The National ft. Johnny Cash,Surviving in the Garden,Main stage
Millennial Nostalgia,Whitney Houston ft. Demi Lovato,Violet Sky,Throwback serotonin
Karaoke Bangers,Pink,Empty Sky,Bridge hits different
Classics & Hits,Katy Perry,Soft Heart,Radio gold
Recovery (NA),Lana Del Rey ft. Duran Duran,Midnight Sky,"New routine, new brain"
Classics & Hits,Diplo,Neon Sky,Dinner-party safe pick
Recovery (NA),A-ha,Waking in the Prayer,Freedom feels weird
Millennial Nostalgia,Eminem,Silver Doubt,MySpace era mood
Classics & Hits,Eurythmics,Honey Room,Iconic riff
Heartbreak,Fleetwood Mac,Rising in the Garden,Soft grief
Karaoke Bangers,The Weeknd ft. Elton John,Silver Storm,Belting required
3AM / Existential,David Guetta,Broken Mirror,Dark humor therapy
Karaoke Bangers,Talking Heads,Kill Bill,Group harmony chaos
Millennial Nostalgia,Selena Gomez,Honey Light,MySpace era mood
Millennial Nostalgia,The National ft. Johnny Cash,Drifting in the Fire,Old hoodie comfort
Recovery (NA),Tove Lo,Love The Way You Lie,Soft accountability
Heartbreak,John Legend,Toxic,Soft grief
Millennial Nostalgia,Kacey Musgraves,Violet Prayer,Teen drama in HD
Karaoke Bangers,Prince ft. Backstreet Boys,Electric Ghost,Belting required
Chill / Indie,Coldplay ft. Cardi B,Violet Heart,Sunday afternoon
Party / Hype,Paramore,Waiting in the Mirror,Pre-game boost
Soft / Comfort,The Beatles,Falling in the Habit,Breathing room
Recovery (NA),Diplo,Bad Romance,Soft accountability — 3PM brain on overtime
Karaoke Bangers,Fall Out Boy,Heavy Heart,Mic-drop chorus
Classics & Hits,A-ha,Static Satellite,Classic closer
Classics & Hits,Calvin Harris,Better Light,Timeless crowd-pleaser
Heartbreak,Imagine Dragons ft. The Killers,Neon Habit,Crying in the shower
Millennial Nostalgia,Jack Johnson,Leaving in the Fire,MySpace era mood
Party / Hype,Doja Cat,Feral Sky,Energy shot
Karaoke Bangers,Sia ft. Vance Joy,Crying in the Satellite,Crowd goes loud
Soft / Comfort,Mumford & Sons,Bright Mirror,Breathing room
Recovery (NA),Bon Jovi ft. NSYNC,Black Room,Honest mirror
Classics & Hits,Anitta,Rising in the Heart,Golden-era groove
3AM / Existential,Kesha,Crying in the Ocean,Existential sparkle
Party / Hype,Radiohead ft. Fall Out Boy,Breathing in the Grief,Bass + bad decisions
Classics & Hits,U2,Dancing in the Sky,Dinner-party safe pick
Karaoke Bangers,AC/DC,Heavy Heart,Iconic hook
Heartbreak,Post Malone,Forgiving in the Ocean,Late-night spiral
Recovery (NA),Journey ft. Demi Lovato,Black Ghost,Freedom feels weird
Soft / Comfort,Phil Collins,Better Doubt,Low-stim serenity
Millennial Nostalgia,NSYNC,Midnight Fire,Teen drama in HD
Party / Hype,Radiohead ft. Fall Out Boy,Honey Signal,Confidence fuel
Heartbreak,The Lumineers,Rehab,Text-you-never-send energy
Heartbreak,Lord Huron ft. Kendrick Lamar,Waiting in the Light,Soft grief
Party / Hype,The Beatles,Golden Fire,Hands-up chorus
Confidence / Glow-Up,Keane,Golden Fire,Unbothered era
Chill / Indie,The Beatles,Forgiving in the Ocean,Window-seat thoughts
Karaoke Bangers,The Black Keys,Searching in the Signal,Group harmony chaos
Classics & Hits,Journey,Surviving in the Room,Universal singalong
Recovery (NA),New Order,Dancing in the Grief,Freedom feels weird
3AM / Existential,Dolly Parton,Holding in the Mirror,Existential sparkle — 3PM brain on overtime
Karaoke Bangers,The Black Keys,Rising in the Room,Group harmony chaos
Heartbreak,Anderson .Paak,Bright Fire,Late-night spiral
Millennial Nostalgia,The Beatles,Healing in the Habit,2000s core memory
Classics & Hits,Kesha,Kill Bill,Radio gold
Heartbreak,OneRepublic,Don't Start Now,Regret loop
Millennial Nostalgia,Olivia Rodrigo,Holding in the Sky,Old hoodie comfort
Karaoke Bangers,Eagles,Bright Fire,Main-character verse
Soft / Comfort,Lady Gaga,Chandelier,Tenderness
Millennial Nostalgia,Daft Punk,Empty City,Throwback serotonin
Millennial Nostalgia,Guns N' Roses,Holding in the City,Old hoodie comfort
Karaoke Bangers,OutKast,Broken Heart,Iconic hook
Soft / Comfort,AC/DC,HUMBLE,Quiet hope
3AM / Existential,Demi Lovato,Healing in the Wave,Dark humor therapy — 3PM brain on overtime
3AM / Existential,Bob Marley,Silver Shadow,Sad-girl museum energy — 3PM brain on overtime
Millennial Nostalgia,Olivia Rodrigo,Searching in the Satellite,2000s core memory
Classics & Hits,The Clash,Running in the Mirror,Instant mood lift
Soft / Comfort,Depeche Mode,Sunflower,Breathing room
3AM / Existential,U2,Falling in the City,Sad-girl museum energy
Party / Hype,Toto,Electric Shadow,Main stage
Classics & Hits,"Tyler, The Creator",Violet Satellite,Iconic riff
Classics & Hits,Megan Thee Stallion,Returning in the Heart,Classic closer
Millennial Nostalgia,Bad Bunny,Rising in the Satellite,2000s core memory
Millennial Nostalgia,Shakira,Healing in the Storm,CD-burned playlist energy
Millennial Nostalgia,Kings of Leon,Wild Heart,Teen drama in HD
Karaoke Bangers,A-ha,Holding in the Habit,Iconic hook
Heartbreak,Daddy Yankee,Running in the Mirror,Love hangover
Classics & Hits,Elton John,Cosmic Doubt,Universal singalong
Millennial Nostalgia,Toto ft. AC/DC,Dancing in the Fire,Throwback serotonin
Classics & Hits,The Lumineers ft. Depeche Mode,Wild Habit,Dinner-party safe pick
Classics & Hits,The Weeknd ft. Elton John,Feral Habit,Iconic riff
Soft / Comfort,Radiohead ft. Fall Out Boy,Leaving in the Fire,Gentle reset
Soft / Comfort,Anderson .Paak,Stay With Me,Breathing room
Chill / Indie,Calvin Harris,Drifting in the Shadow,Soft groove
Party / Hype,Journey,Feral Prayer,Weekend mode
Soft / Comfort,Prince,Golden Habit,Soft landing
Karaoke Bangers,J Balvin,Quiet Habit,Group harmony chaos
